variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A,cohort
CDKN2A,CTNNB1,112290.48059458,1280542.03944623,613309.647375577,0.001,0.935617072842741,0.982004415813276,0.756126336568884,1.10929588054205,0.542388599394781,2.04520500943391,154352.341566162,1277469.43557669,2,86,1,404,493,18671.1958908233,346761.169665763,1029671.94759848,1569312.53898583,34930.4812457529,2718798.50661214,,24607372.2605304,CLCA
CDKN2A,ENSG00000291313,154863.952403216,701540.843995241,0.001,0.001,0.990182155077002,0.988464312909646,0.978759807850669,7.99020556749991e-11,0.0200745515828751,3.98026602712066e-09,154352.341566162,698825.922921731,3,3,0,487,493,38512.2314014927,401573.891383855,174463.951347442,1819173.66267622,,34317842.2079074,,140379840.867548,CLCA
CDKN2A,IL6ST,154890.687287326,1442827.09614259,0.001,0.001,0.989634567394096,0.985860553498597,0.975641772484031,8.88699384807116e-11,0.02461996552949,3.60966949260195e-09,154352.341566162,1437683.4122234,3,4,0,486,493,38519.3574320996,401648.005189694,447921.757096489,3351795.81689161,,31528222.253067,,222857864.210223,CLCA
CDKN2A,JAK1,157221.412158142,1592670.05190425,0.001,0.001,0.946263669895575,0.949221719014338,0.898215826928921,3.97092178583414e-10,0.110336709394548,3.59891264441709e-09,154352.341566162,1588492.62566673,3,20,0,470,493,39099.6247468041,407705.741468371,992643.090289897,2396346.35976872,,5509373.90234841,,67241140.0087675,CLCA
CDKN2A,NFIC,154844.333227495,290352.088041974,0.001,0.001,0.990518922618784,0.9887843215611,0.97940965873483,9.87019710754766e-11,0.0197493354523112,4.99773631947326e-09,154352.341566162,289260.205694588,3,3,0,487,493,38507.8550911767,401528.087521682,72206.8076506124,752915.078832158,,35379364.1680543,,58142535.4464606,CLCA
CDKN2A,P4HA1,154618.294946947,194473.534979908,0.001,0.001,0.994863660333062,0.99442205427486,0.989314390072205,7.34067238960558e-11,0.0125644299299389,5.84242375542564e-09,154352.341566162,193930.284383822,3,2,0,488,493,38451.6148334107,400940.764876707,32336.9971194244,600507.618808121,,71141659.8075817,,77837616.7849262,CLCA
CDKN2A,PIK3CA,134817.904827276,544289.876822412,7288095.97257957,57122769.2026341,0.976529263753084,0.92339934187763,0.0383179703097574,1.18009168614014,0.0244489183707057,48.2676439197451,154352.341566162,641912.398767851,2,3,1,487,493,25189.4984871987,379141.453163952,138510.304484706,1373892.92954436,,83547543.3251935,,554309513.150627,CLCA
CDKN2A,STAT3,154932.71039524,2884461.77504678,0.001,0.001,0.988820246796344,0.988669810357241,0.97761684597533,8.66226479651414e-11,0.0252327953302195,3.4329390315864e-09,154352.341566162,2877868.28749327,3,5,0,485,493,38529.8594559736,401757.534826384,1034346.65431765,6199772.4049538,,28799272.8908376,,593788235.508574,CLCA
CDKN2A,TP53,183836.201536129,623454.144622143,0.001,0.001,0.592361214356993,0.651333658697272,0.385894915399487,3.85527279544995e-09,0.863153918729667,4.46649515433341e-09,154352.341566162,621436.350437663,3,147,0,343,493,45713.8746471109,476796.153473028,527504.824530432,730544.40991513,,617999.490079152,,3067633.98390767,CLCA
CTNNB1,ENSG00000291313,1281099.06970688,504089.7939422,0.001,3066914.71225231,0.929264367006753,0.778054088211958,0.671638083142292,1.22238092681067,0.542493576330036,2.25326341203903,1277469.43557669,698825.922921731,86,2,1,404,493,1030108.96572432,1569987.88712792,83818.1977446692,1556660.17677319,,19360411.1804006,174628.777920926,13610088.0243966,CLCA
